sb, pt, cfg, rt, er
3,1,1,783,0
3,1,2,514,0
3,1,2,572,0
3,1,4,0,0
3,1,2,651,1
3,1,3,803,0
3,1,2,435,0
3,1,1,590,1
3,1,3,712,0
3,1,3,610,0
3,1,3,553,0
3,1,3,495,0
3,1,1,472,0
3,1,2,733,0
3,1,4,0,0
3,1,2,799,0
3,1,3,435,0
3,1,1,568,0
3,1,3,695,0
3,1,4,0,0
3,1,2,611,0
3,1,4,0,0
3,1,1,584,0
3,1,2,638,0
3,1,2,739,0
3,1,2,483,0
3,1,4,0,0
3,1,1,682,0
3,1,2,875,0
3,1,1,543,0
3,1,4,0,0
3,1,4,0,0
3,1,1,842,0
3,1,2,650,0
3,1,3,651,0
3,1,1,683,0
3,1,2,692,0
3,1,2,702,0
3,1,3,807,0
3,1,4,0,0
3,1,2,565,0
3,1,4,0,0
3,1,2,584,0
3,1,2,582,0
3,1,1,565,0
3,1,2,563,0
3,1,1,586,0
3,1,4,0,0
3,1,4,0,0
3,1,1,563,0
3,1,4,0,0
3,1,3,605,0
3,1,2,544,0
3,1,4,0,0
3,1,1,584,0
3,1,3,615,0
3,1,2,600,0
3,1,2,508,0
3,1,2,617,0
3,1,3,565,0
3,1,3,544,0
3,1,4,0,0
3,1,1,573,1
3,1,2,604,0
3,1,3,1043,0
3,1,4,0,0
3,1,2,683,0
3,1,3,514,0
3,1,4,0,0
3,1,4,0,0
3,1,4,0,0
3,1,2,713,0
3,1,4,0,0
3,1,1,628,0
3,1,1,414,0
3,1,4,0,0
3,1,4,0,0
3,1,3,655,0
3,1,1,592,0
3,1,3,566,0
3,1,1,831,0
3,1,4,0,0
3,1,2,559,0
3,1,3,520,0
3,1,4,0,0
3,1,1,528,0
3,1,3,451,0
3,1,3,414,0
3,1,2,454,0
3,1,4,0,0
3,1,4,0,0
3,1,2,471,0
3,1,1,542,0
3,1,4,0,0
3,1,3,658,0
3,1,4,0,0
3,1,3,625,0
3,1,4,0,0
3,1,2,586,1
3,1,2,521,0
3,1,3,844,0
3,1,2,466,0
3,1,2,517,0
3,1,3,570,0
3,1,2,480,1
3,1,2,518,0
3,1,2,425,0
3,1,3,559,0
3,1,2,580,0
3,1,1,512,0
3,1,3,583,0
3,1,3,602,0
3,1,1,708,0
3,1,4,0,0
3,1,4,0,0
3,1,4,0,0
3,1,3,831,0
3,1,3,577,0
3,1,3,672,0
3,1,4,0,0
3,1,4,0,0
3,1,2,634,0
3,1,4,0,0
3,1,2,1083,0
3,1,1,615,0
3,1,3,744,0
3,1,3,578,0
3,1,1,545,0
3,1,3,573,0
3,1,1,770,0
3,1,2,584,0
3,1,2,439,0
3,1,1,585,0
3,1,1,486,0
3,1,2,608,0
3,1,3,587,0
3,1,2,608,0
3,1,4,0,0
3,1,1,706,0
3,1,2,509,0
3,1,4,0,0
3,1,1,642,0
3,1,2,538,0
3,1,3,631,0
3,1,1,644,1
3,1,2,708,0
3,1,1,698,0
3,1,3,606,0
3,1,3,521,0
3,1,3,438,0
3,1,3,506,0
3,1,1,487,0
3,1,3,582,0
3,1,1,492,0
3,1,1,571,0
3,1,1,465,0
3,1,2,396,0
3,1,2,601,0
3,1,1,579,0
3,1,4,0,0
3,1,2,538,0
3,1,1,576,0
3,1,1,553,0
3,1,3,497,0
3,1,1,586,0
3,1,3,540,0
3,1,2,541,0
3,1,1,722,0
3,1,4,0,0
3,1,4,0,0
3,1,3,584,0
3,1,3,451,1
3,1,3,555,1
3,1,4,0,0
3,1,2,641,0
3,1,4,0,0
3,1,4,0,0
3,1,1,672,0
3,1,2,634,0
3,1,4,0,0
3,1,1,487,0
3,1,1,561,0
3,1,4,0,0
3,1,4,0,0
3,1,4,0,0
3,1,2,600,0
3,1,4,0,0
3,1,1,547,0
3,1,1,541,0
3,1,3,422,0
3,1,4,0,0
3,1,2,687,0
3,1,2,455,0
3,1,2,540,0
3,1,1,612,0
3,1,4,0,0
3,1,2,539,0
3,1,2,480,0
3,1,3,508,0
3,1,4,0,0
3,1,3,505,0
3,1,4,0,0
3,1,4,0,0
3,1,2,546,0
3,1,2,550,0
3,1,3,547,0
3,1,3,449,1
3,1,4,0,0
3,1,3,664,0
3,1,2,554,0
3,1,3,535,0
3,1,3,535,1
3,1,4,0,0
3,1,3,709,0
3,1,3,548,0
3,1,4,0,0
3,1,1,923,0
3,1,3,495,0
3,1,1,604,0
3,1,1,615,0
3,1,1,635,0
3,1,4,0,0
3,1,1,792,0
3,1,2,604,0
3,1,3,549,0
3,1,3,503,0
3,1,3,450,0
3,1,2,452,0
3,1,4,0,0
3,1,3,531,0
3,1,4,0,0
3,1,2,572,0
3,1,3,548,0
3,1,2,617,0
3,1,3,585,1
3,1,3,597,0
3,1,2,658,0
3,1,1,678,0
3,1,4,0,0
3,1,2,559,0
3,1,4,0,0
3,1,1,540,0
3,1,4,0,0
3,1,3,604,0
3,1,1,667,0
3,1,2,565,0
3,1,2,524,0
3,1,3,644,1
3,1,1,538,0
3,1,4,0,0
3,1,4,0,0
3,1,2,867,0
3,1,4,0,0
3,1,3,561,0
3,1,2,606,0
3,1,1,625,0
3,1,4,0,0
3,1,4,0,0
3,1,1,957,0
3,1,1,496,0
3,1,1,598,0
3,1,1,915,0
3,1,1,525,0
3,1,1,516,0
3,1,4,0,0
3,1,4,0,0
3,1,3,650,0
3,1,1,1029,0
3,1,3,711,0
3,1,4,0,0
3,1,1,658,0
3,1,2,720,0
3,1,4,0,0
3,1,4,0,0
3,1,1,605,0
3,1,4,0,0
3,1,3,683,0
3,1,2,526,0
3,1,2,540,0
3,1,2,595,0
3,1,1,566,0
3,1,2,576,0
3,1,3,653,0
3,1,4,0,0
3,1,4,0,0
3,1,3,615,0
3,1,3,620,0
3,1,2,610,0
3,1,4,0,0
3,1,4,0,0
3,1,4,0,0
3,1,2,677,0
3,1,4,0,0
3,1,4,0,0
3,1,4,0,0
3,1,3,642,0
3,1,2,635,0
3,1,1,661,0
3,1,4,0,0
3,1,2,654,0
3,1,4,0,0
3,1,2,622,0
3,1,1,847,0
3,1,3,599,0
3,1,3,640,0
3,1,3,552,0
3,1,2,571,0
3,1,1,561,0
3,1,2,582,0
3,1,1,460,0
3,1,2,523,0
3,1,3,555,0
3,1,4,0,0
3,1,1,646,0
3,1,4,0,0
3,1,3,583,0
3,1,4,0,0
3,1,1,647,0
3,1,2,504,0
3,1,4,0,0
3,1,1,579,0
3,1,2,623,0
3,1,3,650,0
3,1,1,576,0
3,1,2,559,0
3,1,2,521,0
3,1,4,0,0
3,1,1,642,0
3,1,3,535,0
3,1,1,621,0
3,1,4,0,0
3,1,4,0,0
3,1,4,0,0
3,1,4,0,0
3,1,1,634,0
3,1,3,708,0
3,1,4,0,0
3,1,4,0,0
3,1,1,729,0
3,1,3,504,0
3,1,4,0,0
3,1,2,618,0
3,1,2,601,0
3,1,4,0,0
3,1,1,457,1
3,1,3,619,0
3,1,1,692,0
3,1,4,0,0
3,1,2,628,0
3,1,3,475,0
3,1,1,648,0
3,1,1,594,0
3,1,4,0,0
3,1,3,577,0
3,1,3,613,0
3,1,1,498,1
3,1,2,588,0
3,1,4,0,0
3,1,3,682,0
3,1,4,0,0
3,1,2,793,0
3,1,2,474,0
3,1,4,0,0
3,1,1,642,0
3,1,1,615,0
3,1,2,683,0
3,1,3,748,0
3,1,4,0,0
3,1,4,0,0
3,1,2,544,0
3,1,4,0,0
3,1,4,0,0
3,1,3,799,0
3,1,1,625,0
3,1,3,704,0
3,1,2,658,0
3,1,2,553,0
3,1,3,516,0
3,1,2,630,0
3,1,1,933,0
3,1,4,0,0
3,1,2,639,0
3,1,3,722,0
3,1,1,686,0
3,1,1,612,1
3,1,4,0,0
3,1,2,726,0
3,1,4,0,0
3,1,4,0,0
3,1,4,0,0
3,1,4,0,0
3,1,1,685,0
3,1,1,702,0
