subj,part,conf,rt,er
1,1,1,592,0
1,1,3,571,0
1,1,3,602,0
1,1,2,652,0
1,1,1,525,0
1,1,3,627,0
1,1,4,0,0
1,1,4,0,0
1,1,2,532,0
1,1,4,0,0
1,1,2,533,1
1,1,1,729,0
1,1,2,571,0
1,1,4,0,0
1,1,2,616,0
1,1,3,408,0
1,1,3,411,0
1,1,2,518,0
1,1,4,0,0
1,1,1,540,0
1,1,3,515,0
1,1,4,0,0
1,1,4,0,0
1,1,4,0,0
1,1,4,0,0
1,1,3,486,0
1,1,4,0,0
1,1,2,517,1
1,1,1,671,0
1,1,4,0,0
1,1,1,665,0
1,1,1,672,0
1,1,4,0,0
1,1,3,492,0
1,1,3,533,1
1,1,3,779,0
1,1,2,545,0
1,1,1,2590,0
1,1,3,639,0
1,1,2,551,0
1,1,3,594,0
1,1,2,604,0
1,1,3,597,0
1,1,1,634,0
1,1,4,0,0
1,1,1,690,0
1,1,3,632,0
1,1,2,519,0
1,1,3,514,1
1,1,4,0,0
1,1,4,0,0
1,1,1,786,0
1,1,3,566,0
1,1,1,789,0
1,1,4,0,0
1,1,4,0,0
1,1,4,0,0
1,1,3,955,0
1,1,3,648,0
1,1,4,0,0
1,1,3,694,0
1,1,4,0,0
1,1,3,551,0
1,1,2,566,0
1,1,4,0,0
1,1,4,0,0
1,1,1,730,0
1,1,2,593,0
1,1,2,597,0
1,1,3,526,0
1,1,1,552,0
1,1,4,0,0
1,1,2,600,0
1,1,4,0,0
1,1,3,615,0
1,1,2,583,0
1,1,4,0,0
1,1,1,502,0
1,1,2,564,0
1,1,1,843,0
1,1,3,631,0
1,1,2,460,0
1,1,2,458,0
1,1,3,481,0
1,1,2,604,0
1,1,4,0,0
1,1,4,0,0
1,1,1,474,0
1,1,4,0,0
1,1,1,461,0
1,1,1,546,0
1,1,3,488,0
1,1,3,475,0
1,1,2,411,0
1,1,3,606,0
1,1,4,0,0
1,1,4,0,0
1,1,3,491,0
1,1,2,509,1
1,1,3,533,0
1,1,3,506,0
1,1,2,584,1
1,1,2,648,0
1,1,1,667,0
1,1,1,721,0
1,1,4,0,0
1,1,3,642,0
1,1,1,638,0
1,1,3,475,0
1,1,3,616,0
1,1,3,572,0
1,1,3,467,1
1,1,3,623,0
1,1,2,589,0
1,1,1,620,0
1,1,2,756,0
1,1,2,607,0
1,1,1,605,0
1,1,2,614,0
1,1,4,0,0
1,1,2,602,0
1,1,3,733,0
1,1,2,591,0
1,1,4,0,0
1,1,3,576,0
1,1,2,516,0
1,1,3,575,0
1,1,2,606,0
1,1,2,528,0
1,1,1,567,0
1,1,4,0,0
1,1,4,0,0
1,1,3,627,0
1,1,2,618,0
1,1,4,0,0
1,1,3,548,0
1,1,1,609,0
1,1,2,668,0
1,1,4,0,0
1,1,3,576,0
1,1,4,0,0
1,1,1,513,0
1,1,3,502,0
1,1,2,498,0
1,1,4,0,0
1,1,4,0,0
1,1,3,636,0
1,1,2,535,1
1,1,2,605,0
1,1,1,821,0
1,1,2,626,0
1,1,4,0,0
1,1,4,0,0
1,1,2,592,0
1,1,2,543,0
1,1,1,516,0
1,1,3,518,0
1,1,2,545,0
1,1,2,541,0
1,1,3,934,0
1,1,4,0,0
1,1,3,652,0
1,1,1,579,0
1,1,3,505,0
1,1,2,484,0
1,1,3,546,0
1,1,4,0,0
1,1,2,581,0
1,1,1,490,0
1,1,3,516,0
1,1,3,551,0
1,1,3,481,0
1,1,4,0,0
1,1,2,642,0
1,1,1,683,0
1,1,3,563,0
1,1,2,506,1
1,1,3,565,0
1,1,4,0,0
1,1,1,678,0
1,1,3,495,0
1,1,2,487,0
1,1,3,534,0
1,1,3,902,0
1,1,4,0,0
1,1,2,629,0
1,1,3,519,0
1,1,4,0,0
1,1,2,914,0
1,1,1,612,0
1,1,1,627,0
1,1,4,0,0
1,1,2,607,0
1,1,2,842,0
1,1,1,549,0
1,1,1,547,0
1,1,4,0,0
1,1,3,582,0
1,1,1,596,0
1,1,1,501,0
1,1,2,529,0
1,1,1,594,0
1,1,4,0,0
1,1,1,627,0
1,1,4,0,0
1,1,4,0,0
1,1,4,0,0
1,1,2,557,0
1,1,4,0,0
1,1,4,0,0
1,1,3,624,0
1,1,2,487,1
1,1,3,614,0
1,1,4,0,0
1,1,2,515,0
1,1,2,536,0
1,1,2,591,0
1,1,3,555,0
1,1,1,604,0
1,1,2,452,0
1,1,3,483,0
1,1,4,0,0
1,1,4,0,0
1,1,2,722,0
1,1,4,0,0
1,1,1,552,0
1,1,1,487,0
1,1,1,489,0
1,1,4,0,0
1,1,2,574,0
1,1,3,659,0
1,1,1,591,0
1,1,4,0,0
1,1,4,0,0
1,1,4,0,0
1,1,3,534,0
1,1,1,540,0
1,1,3,541,0
1,1,4,0,0
1,1,1,490,0
1,1,4,0,0
1,1,1,526,0
1,1,2,503,0
1,1,4,0,0
1,1,2,634,0
1,1,3,564,0
1,1,2,615,0
1,1,1,469,0
1,1,3,476,1
1,1,2,636,0
1,1,4,0,0
1,1,3,574,0
1,1,4,0,0
1,1,1,593,0
1,1,4,0,0
1,1,3,496,0
1,1,4,0,0
1,1,1,532,0
1,1,4,0,0
1,1,1,637,0
1,1,1,562,0
1,1,2,626,0
1,1,2,505,0
